median_income,median_rent,total_pop,male_white_20_24,male_white_25_29,male_white_30_34,female_white_20_24,female_white_25_29,female_white_30_34,year,prop_white_20_34,TRACT,FIPS,YEAR,25% Quartile of Appraised Value,75% Quartile of Appraised Value,Count of Appraisals,Mean Appraised Value,Median Appraised Value,zhvi
45563,1045,1822,27,71,111,66,50,45,2013,0.2030735455543359,22071005400,22071,2013,250000.0,348000.0,19.0,307900.0,300000.0,140626.58780309712
30156,1084,2189,0,0,4,0,38,4,2013,0.021014161717679305,22071000400,22071,2013,85000.0,162000.0,17.0,134800.0,115000.0,140626.58780309712
38516,1060,1554,12,115,51,18,118,79,2013,0.2528957528957529,22071001200,22071,2013,250000.0,383000.0,22.0,333300.0,355000.0,140626.58780309712
57000,1044,2333,60,77,89,120,152,69,2013,0.24303471924560652,22071012800,22071,2013,285000.0,485000.0,43.0,400100.0,378000.0,140626.58780309712
38191,900,1700,16,72,154,31,57,62,2013,0.23058823529411765,22071001100,22071,2013,210500.0,370000.0,18.0,284500.0,254000.0,140626.58780309712
70117,1330,1500,14,144,29,15,99,80,2013,0.254,22071011200,22071,2013,280000.0,365000.0,29.0,335500.0,325000.0,140626.58780309712
50714,1109,2448,45,215,48,94,109,92,2013,0.24632352941176472,22071005500,22071,2013,240000.0,318300.0,80.0,284400.0,280800.0,140626.58780309712
72750,1135,1359,81,123,38,33,77,59,2013,0.30242825607064017,22071005604,22071,2013,290000.0,545000.0,65.0,435700.0,400000.0,140626.58780309712
81047,1215,1825,3,99,72,71,68,137,2013,0.2465753424657534,22071011400,22071,2013,460000.0,705000.0,47.0,579000.0,565500.0,140626.58780309712
41000,758,1273,16,24,68,16,61,30,2013,0.16889238020424194,22071002600,22071,2013,326200.0,450000.0,17.0,416200.0,378000.0,140626.58780309712
62931,1133,1409,36,48,61,36,95,67,2013,0.24343506032647266,22071007800,22071,2013,386000.0,650000.0,11.0,489400.0,530000.0,140626.58780309712
53382,1172,2983,294,106,55,447,119,7,2013,0.3446195105598391,22071012101,22071,2013,350000.0,745000.0,27.0,582200.0,485000.0,140626.58780309712
36381,816,4521,0,0,0,0,37,0,2013,0.0081840300818403,22071001740,22071,2013,139000.0,190000.0,27.0,167700.0,166000.0,140626.58780309712
38843,1028,1660,0,9,22,0,0,16,2013,0.028313253012048192,22071002501,22071,2013,151000.0,225000.0,18.0,198200.0,177500.0,140626.58780309712
32339,1059,2434,69,165,69,17,64,108,2013,0.20213640098603122,22071006400,22071,2013,215000.0,295000.0,19.0,272000.0,245000.0,140626.58780309712
40975,942,4982,0,10,0,19,0,0,2013,0.005820955439582497,22071000604,22071,2013,99000.0,141000.0,13.0,117900.0,113000.0,140626.58780309712
28696,1026,2004,0,0,24,0,0,0,2013,0.011976047904191617,22071002502,22071,2013,110000.0,154000.0,14.0,133100.0,136500.0,140626.58780309712
44076,896,1602,33,42,32,18,89,37,2013,0.15667915106117353,22071009700,22071,2013,285000.0,410000.0,26.0,343600.0,327500.0,140626.58780309712
72969,1622,1727,226,121,45,108,60,40,2013,0.3474232773595831,22071011900,22071,2013,360000.0,530000.0,39.0,456500.0,425000.0,140626.58780309712
52465,1336,1956,33,146,80,59,104,50,2013,0.24130879345603273,22071012300,22071,2013,245000.0,335000.0,25.0,311000.0,270000.0,140626.58780309712
59375,902,2632,107,47,86,20,54,45,2013,0.13639817629179332,22071000100,22071,2013,216000.0,303500.0,40.0,267700.0,272500.0,140626.58780309712
52083,1020,1922,7,32,14,16,27,32,2013,0.06659729448491156,22071003301,22071,2013,202000.0,281500.0,52.0,292200.0,230000.0,140626.58780309712
